station name,channel,north,west,south,east,
Gatow-1,Kanal 37,Pichelsdorf-1,N/A,Wannsee-1,Botanischer-Garten-1,
Funkturm-1,Kanal 118,Tegeler-See-1,Pichelsdorf-1,FB-Messwiese-2,Moabit-1,
Mueggelsee-1,Kanal 37,Marzahn-1,FB-Messwiese-2,N/A,N/A,
Wannsee-1,Kanal 37,Gatow-1,N/A,N/A,Botanischer-Garten-1,
Moabit-1,Kanal 37,FB-Messwiese-2,Funkturm-1,FB-Messwiese-2,Planetarium-1,
Botanischer-Garten-1,Kanal 108,Funkturm-1,Wannsee-1,N/A,FB-Messwiese-2,
Tegeler-See-1,Kanal 40,Tegel-Forstamt-1,N/A,Moabit-1,Planetarium-1,
Pichelsdorf-1,Kanal 37,Tegeler-See-1,N/A,Gatow-1,Funkturm-1,
Botanischer-Garten-2,Kanal 109,Funkturm-1,Wannsee-1,N/A,FB-Messwiese-2,
FB-Messwiese-2,Kanal 42,Funkturm-1,Gatow-1,Botanischer-Garten-2,N/A,
Planetarium-1,Kanal 33,N/A,Tegeler-See-1,Moabit-1,Marzahn-1,
Tegel-Forstamt-1,Kanal 37,N/A,N/A,Tegeler-See-1,Moabit-1,
Marzahn-1,Kanal 37,N/A,Planetarium-1,Mueggelsee-1,N/A,